,GBC_PC1_ztstat,GBC_PC2_ztstat,GBC_PC3_ztstat,GBC_PC4_ztstat,GBC_PC5_ztstat
CCS,0.30057713,-0.058877312,0.106732109,0.040761155,0.043400336
CCT2,0.29605453,-0.01451768,0.038094868,0.154861936,0.161366416
CCT3,0.207951597,0.066186258,-0.041884243,0.150285387,0.203423561
CCT4,-0.212431285,0.133291338,-0.167834486,0.154605257,0.084834492
CCT5,0.304541008,-0.049709222,-0.058747799,0.185579303,0.070137285
CCT6A,0.045378992,-0.012625694,-0.013917779,0.142602273,0.103461812
CCT6B,0.0159849,0.233640076,-0.150139065,0.160094899,0.155970586
CCT6P1,-0.010035608,-0.048873898,0.003120276,0.077117588,0.076479862
CCT7,0.31768086,0.02119682,0.015508563,0.159949711,0.170792854
CCT8,0.231727377,-0.062644172,0.002998636,0.134424527,0.028193652
CCT8P1,0.416935115,-0.035363961,0.0921273,-0.008881291,0.235124496
CCZ1B,-0.253766825,0.17263227,-0.215564133,0.265696405,0.12674529
CD109,0.208737718,-0.026070394,0.001187847,0.116233221,0.069926277
CD14,0.152671997,0.063418084,0.044325885,0.077740429,0.233279422
CD151,0.432236642,-0.184268084,0.070307945,0.043328628,0.009047492
CD163,0.196158354,0.000496061,-0.070236509,0.146317145,0.007826334
CD163L1,-0.091625596,0.182899743,-0.210538043,0.458057472,0.256303003
CD164,0.02664742,0.223959319,-0.139025517,0.21032156,0.228726562
CD164L2,-0.069327834,0.106449457,0.00054438,0.009082086,-0.020698128
CD177,0.343677419,-0.244060449,0.251511338,0.055445627,0.297443107
CD180,,,,,
CD19,-0.107576926,0.055298907,-0.244444767,0.168841708,-0.000331128
CD1A,0.466198431,-0.188636685,0.298457034,-0.100115875,0.262122934
CD1B,-0.217803249,-0.036491165,-0.06149534,-0.090889329,-0.317483297
CD1C,-0.034264973,0.00306563,-0.005980952,0.222616977,0.369089388
CD1D,,,,,
CD1E,-0.072577372,-0.20302825,0.110268836,-0.174279927,-0.088430019
CD2,0.046441787,0.158393661,-0.038781542,0.167007447,0.230981751
CD200,0.224512399,-0.054409502,-0.029788189,0.043430617,-0.120330359
CD200R1,0.102220258,0.012916195,0.241761142,-0.158973842,0.216402473
CD200R1L,,,,,
CD207,-0.187061999,0.422159308,-0.211976331,0.236999518,0.049934793
CD209,-0.164966655,-0.022991011,-0.082819779,-0.028708631,-0.201812814
CD22,0.086656204,-0.017726234,0.147015503,-0.134184151,0.05243902
CD226,-0.039736562,0.044076296,-0.119441408,0.017212736,-0.118634677
CD24,0.250421971,-0.180807439,-0.071231587,0.000105288,-0.265671726
CD244,0.062036471,-0.03044746,-0.23802046,0.144775465,-0.292612648
CD247,-0.002390777,0.040233075,-0.075307406,-0.027806021,-0.068819508
CD248,0.465091156,-0.133850079,0.343722074,-0.103550278,0.234866361
CD27,-0.190489766,0.164488484,-0.079038555,0.047595557,0.030862614
CD274,0.047280721,-0.008946831,-0.010523741,0.020085736,0.034986271
CD276,-0.022811887,0.034022029,0.07809579,-0.090430813,-0.09463086
CD28,0.04209833,0.045003718,0.008684068,0.28072804,0.333935247
CD2AP,-0.089018211,-0.138519096,0.058372234,-0.230032903,-0.219734938
CD2BP2,0.289215804,-0.037836263,0.051350249,0.054578204,0.123027375
CD300A,0.199302922,0.007422796,-0.094922634,0.051888181,-0.009590299
CD300C,-0.077737551,0.145574164,-0.097540831,0.148775488,0.147605415
CD300E,0.32227443,-0.282087065,0.066832401,-0.179201479,-0.255449736
CD300LB,0.240090961,-0.206360051,0.147771844,-0.094322929,-0.062948793
CD300LD,0.115312432,0.173534152,-0.022948137,0.371966108,0.596650116
CD300LF,-0.330043812,-0.012231176,-0.143289134,0.219469247,0.093172258
CD300LG,-0.233573404,-0.086310694,-0.080462877,0.067765467,-0.365765335
CD302,0.370609783,-0.070654046,0.054932071,0.036867072,0.121482883
CD320,0.139775259,0.08697701,0.166744711,0.058880669,0.317583446
CD33,0.280432808,0.043540671,-0.039792739,0.039655523,0.102349202
CD34,-0.059247931,0.068976369,0.055194635,0.109967685,0.221506149
CD36,0.281069367,-0.114450388,-0.040595469,-0.070527429,-0.239616627
CD37,-0.017946912,0.058551549,0.011858021,0.039085711,0.123493415
CD38,0.354219473,-0.053154532,0.152278209,-0.000650036,0.245256239
CD3D,0.070322304,-0.006169937,4.67E-05,0.149646212,0.150850155
CD3E,-0.11705601,0.094949104,-0.050272659,0.072802819,0.024804093
CD3EAP,0.042773943,-0.078304083,0.207785237,-0.207074671,-0.047105288
CD3G,-0.084701764,-0.003867376,0.135636419,-0.230216936,-0.141071206
CD4,0.108132289,-0.066357996,0.093681989,-0.055592111,0.073650121
CD40,0.303241006,-0.352598369,0.334867842,-0.341388504,-0.101836082
CD40LG,0.438195722,-0.299586335,0.227024158,-0.12561589,0.033778393
CD44,0.109190161,0.016235603,-0.049210151,0.19492776,0.244677283
CD46,-0.175289072,0.146278153,-0.226725536,0.12197652,-0.051506848
CD47,0.07547867,0.159844769,-0.180511665,0.207466611,0.205380397
CD48,0.098087677,0.111514137,0.028037739,0.048068566,0.294034874
CD5,-0.173562638,-0.135232053,0.159105346,-0.339678705,-0.447012182
CD52,0.182066608,0.13243892,-0.209875504,0.299327474,0.066900526
CD53,0.201617957,0.04405026,0.299504638,-0.142325145,0.159304918
CD55,-0.061515116,0.112006063,-0.10156757,0.077231953,0.022269548
CD58,0.292478404,0.040072469,0.070180582,0.103152757,0.274136601
CD59,0.001627534,0.050081418,0.006835911,0.198887677,0.251663908
CD6,0.495709748,-0.148364082,0.246230628,-0.035619887,0.223434633
CD63,0.407887679,-0.115604151,0.107520477,0.069523149,0.079067724
CD68,0.235507852,0.072250208,-0.071911923,0.042760547,0.02885011
CD69,0.268920345,-0.023664367,0.071282341,-0.114704092,-0.015915909
CD7,0.095900159,0.061585295,-0.07227572,0.11863621,0.037608258
CD70,0.300783773,-0.190037864,0.211918978,-0.030389309,0.115174165
CD72,-0.503777015,0.395651752,-0.225596932,0.236310612,0.084528278
CD74,0.020018761,0.162174713,-0.223731824,0.198693879,0.149680158
CD79A,-0.008727378,0.00618493,-0.013615004,0.017176713,0.109855784
CD79B,0.132914726,0.022622231,-0.094682515,-0.007589293,-0.186090543
CD81,0.269293499,-0.022481731,-0.065989258,0.114502191,0.007669144
CD82,-0.014034297,0.169528564,-0.02813457,-0.007877299,0.1032905
CD83,0.444670585,-0.068589502,0.157853207,-0.01423179,-0.002746099
CD84,0.164255759,0.103062411,-0.183230069,0.158108935,0.045305915
CD86,0.066294082,0.090113799,-0.034851647,-0.01961398,-0.011327805
CD8A,0.359113085,-0.145158709,0.150292851,-0.08026798,-0.102449312
CD8B,0.161792535,-0.002245345,0.148257097,0.094073155,0.344377854
CD9,-0.055964509,0.087751,0.091410381,-0.016709327,0.108421927
CD93,0.01105123,-0.081142744,0.009830399,0.096316183,0.131841407
CD96,-0.13651551,0.211753875,0.005886843,0.259158543,0.421157345
CD97,0.068844653,0.148439699,0.030351812,0.149002428,0.289086268
CD99,0.305604333,-0.057395999,-0.025640256,0.138140265,0.118106509
CD99L2,-0.033588534,0.161607971,0.073962081,0.052424272,0.325299585
CD99P1,0.274824031,-0.005359124,-0.010630271,-0.065082871,-0.151422028
CDA,0.050800708,0.020449933,0.104080116,0.072257409,0.056458679
CDADC1,-0.239940843,0.083802145,0.07004859,0.004590147,0.087624848
CDAN1,0.171200644,-0.133331467,0.113971219,-0.102370367,-0.13630068
CDC123,0.194380544,-0.035783992,0.011804416,0.126942361,0.151550628
CDC14A,0.419957884,-0.08670964,0.127356151,-0.027594502,0.09116713
CDC14B,-0.129475465,0.044559038,-0.066191171,-0.02699121,-0.005028143
CDC14C,0.062742369,-0.023821425,0.053624111,-0.103121721,-0.058576938
CDC16,0.145704052,0.050333175,-0.073469564,0.124835754,0.095775117
CDC2,0.131616713,-0.155081694,0.105456288,0.059438115,-0.103752121
CDC20,-0.019592644,0.172001605,-0.15529726,0.195455025,0.197565494
CDC23,0.038004959,0.076198041,0.02642679,0.15153049,0.077580907
CDC25A,-0.190202378,0.191800939,-0.133411781,0.202666116,0.05286663
CDC25B,0.082477583,0.020766723,0.024061171,0.045504488,0.096414177
CDC25C,-0.187478969,0.171250785,-0.230605665,0.531545423,0.382250877
CDC26,0.135847493,0.061158186,-0.002916855,0.106853645,0.242634496
CDC27,0.37368907,-0.096150549,0.047160504,0.040036243,0.076571698
CDC2L1,-0.33553198,0.098515566,-0.097956049,0.064559219,-0.031443386
CDC2L2,0.045989253,0.05423993,0.135811979,-0.06578634,0.190385034
CDC2L5,-0.43126303,0.177449177,-0.287893689,0.141815649,-0.053263364
CDC2L6,-0.327774932,0.170526374,-0.186971037,-0.046710189,-0.116584501
CDC34,0.430216568,-0.053536394,0.114257847,0.007220091,0.090357775
CDC37,0.201585037,0.10684921,0.026333139,0.17215873,0.379302682
CDC37L1,0.142869056,-0.001290298,0.058052056,0.090755711,0.137240843
CDC40,-0.059765595,0.076776399,-0.047246614,0.093477082,-0.068208825
CDC42,0.332188098,-0.054358645,-0.019115108,0.10694358,0.012427696
CDC42BPA,-0.214062645,0.097867586,0.04784447,-0.09445324,0.063181044
CDC42BPG,-0.216159454,0.006205297,0.077484151,-0.09703493,0.010926425
CDC42EP1,0.018685504,0.200066744,-0.009878856,0.101154722,0.16931629
CDC42EP2,0.044598536,0.088087463,0.020592425,0.00092393,0.110044409
CDC42EP3,-0.034190912,-0.090668975,0.223385047,-0.140512217,0.044439344
CDC42EP4,0.385769634,-0.195419516,0.157324207,-0.06653934,-0.028057146
CDC42EP5,0.182931627,-0.122104352,0.126531199,-0.19910533,-0.164083676
CDC42SE1,-0.009747493,0.035229645,0.072796235,0.092935,0.115413856
CDC42SE2,0.362650253,0.007443956,0.167025546,-0.082445161,0.007689582
CDC45L,-0.047767664,0.14804551,-0.259714451,0.141511067,-0.113344108
CDC5L,-0.195307705,0.12235546,-0.094011371,0.005115097,-0.10390936
CDC6,0.263890799,-0.086353357,0.219119081,-0.218471582,-0.157879969
CDC7,0.116154382,-0.075664511,0.250745133,-0.143068036,0.035828291
CDC73,-0.143327202,0.258915165,-0.274157999,0.190167221,0.082315267
CDCA2,0.45031807,-0.396899021,0.242088,-0.178222591,-0.016111818
CDCA3,0.042234378,-0.129409775,0.004252261,0.036141568,0.030397693
CDCA4,0.259469346,0.026882019,0.161684983,0.177503468,0.355667944
CDCA5,0.208881329,0.047585012,0.212786843,-0.020544541,0.207382331
CDCA7,0.26667139,-0.056860386,-0.002907921,0.068343681,0.019271913
CDCA8,-0.019791613,0.153340391,-0.001336083,0.090008929,0.205299072
CDCP1,0.07488146,0.127384853,-0.186967566,0.165365147,0.000561037
CDGAP,0.419246621,-0.223462774,0.27165327,-0.052641431,0.186107824
CDH1,0.059443349,0.02859495,0.05208815,-0.118312995,-0.11519981
CDH10,0.398191175,-0.086996263,0.1141213,0.083448235,0.075919833
CDH11,0.38604286,-0.052596747,-0.018101116,0.123111035,0.101480624
CDH12,-0.397105864,0.17219239,-0.261565181,0.175795572,-0.087055
CDH13,0.201076846,0.024045336,-0.105417439,0.340451066,0.242963002
CDH15,0.040234807,0.046038795,0.020379047,-0.151091286,-0.131666251
CDH16,0.10877245,-0.139606113,0.067709044,-0.103791781,-0.122871165
CDH17,0.253979422,0.074517745,0.017011789,0.222308268,0.400066471
CDH18,0.267557259,-0.076070115,0.217101906,-0.043371749,0.119246717
CDH19,-0.038545035,0.243638071,-0.033313524,0.078680398,0.159044636
CDH2,-0.016067446,0.010212418,-0.143689951,0.102619433,-0.117196703
CDH20,-0.034267712,0.15391338,-0.283361302,0.130309088,-0.028985509
CDH22,0.226768572,-0.078682903,0.252735021,-0.210626576,0.119579959
CDH23,-0.038753689,0.024567516,0.024695764,-0.090050115,-0.122162929
CDH24,0.053470754,-0.082595212,0.076472914,-0.096324173,-0.010512754
CDH26,-0.17193009,0.178530042,-0.11901741,0.080666461,0.101045486
CDH29,-0.29449879,-0.029826919,0.013653014,-0.076987151,-0.079427798
CDH3,0.17556332,-0.095427175,-0.047770759,0.017328791,-0.190255441
CDH4,0.348186758,-0.03796154,-0.004188496,-0.00355214,-0.099256579
CDH5,-0.061546725,-0.176303387,0.032699454,-0.221034544,-0.224762707
CDH6,0.037924447,0.221184487,-0.199580537,0.37274844,0.287509145
CDH7,-0.393037758,0.189020961,-0.08076688,0.110886323,0.078164087
CDH8,0.440807987,-0.17300344,0.218667107,-0.160090596,-0.065375751
CDH9,0.263522322,-0.01769396,-0.011242318,0.099666426,-0.094608767
CDIPT,0.293878725,0.031887959,0.112955333,0.078683437,0.260853707
CDK10,0.119919469,0.01487844,0.061031468,0.050275853,0.108775177
CDK2,0.229822649,-0.234540677,0.118866737,-0.064099313,-0.074655761
CDK2AP1,0.15276303,-0.071923474,0.248516322,-0.039712854,0.392455939
CDK2AP2,0.340038066,-0.060853021,0.153197591,-0.042612385,0.179261264
CDK3,0.112520332,-0.052341685,0.006598784,-0.018124397,-0.014523966
CDK4,0.259176398,-0.010045662,0.097370142,0.011816055,0.0491364
CDK5,0.358466018,-0.044999282,0.074703482,0.071221451,0.142018317
CDK5R1,0.125883701,-0.010024897,-0.014124736,-0.112126868,-0.09342279
CDK5R2,0.346784396,-0.060769614,0.184655763,0.007242004,0.216526913
CDK5RAP1,0.211833956,0.06180575,-0.041502161,0.12738301,0.148233461
CDK5RAP2,-0.00369326,-0.074135586,0.073946937,-0.130373814,0.127113784
CDK5RAP3,-0.061145693,0.090202455,0.012902492,-0.053183023,0.002316632
CDK6,-0.168655265,0.255213572,-0.212854667,0.110967207,0.146248568
CDK7,0.177043189,-0.077480902,0.048615905,0.059163644,0.089620747
CDK8,-0.048344287,0.155490005,-0.109793832,0.146498881,0.189680037
CDK9,0.011307095,-0.020793865,-0.008037488,-0.074761295,-0.211870089
CDKAL1,0.02890572,0.037521838,0.078457236,-0.127142302,0.062734402
CDKL1,-0.180037187,0.001791155,0.162852897,-0.180783775,0.026023445
CDKL2,-0.119777523,0.116516816,-0.10389626,0.176793678,-0.010973867
CDKL3,-0.046774811,0.137839606,-0.110896789,0.220269419,0.227278123
CDKL4,0.176908057,0.042481902,0.083018298,0.150261623,0.275930575
CDKL5,0.223280339,-0.205213191,0.204782028,-0.053590634,-0.097401579
CDKN1A,0.105323769,-0.005593453,-0.121678741,0.13724364,0.024396927
CDKN1B,-0.266811027,0.106699174,0.089208692,0.043316009,0.249046731
CDKN1C,-0.025784368,0.208219821,-0.088050883,0.102171098,0.072365497
CDKN2A,0.098157733,0.079795281,0.195868461,-0.092809602,0.264438965
CDKN2AIP,-0.233703455,0.009880549,-0.17757183,0.032969593,-0.218110483
CDKN2AIPNL,0.277898856,0.06456584,-0.0074126,0.218236541,0.182548181
CDKN2B,-0.412610209,0.108212745,-0.169048873,0.030315518,-0.174763031
CDKN2C,-0.11292605,0.110070292,0.04141593,0.049894907,0.273499075
CDKN2D,0.381257495,-0.027990693,0.085567338,0.090913554,0.111432485
CDKN3,0.128715491,-0.016209056,0.153416774,-0.041143938,0.043271716
CDNF,0.226527248,-0.107234113,0.172792342,-0.010271007,0.071804096
CDO1,0.388049014,-0.067172337,0.096265797,0.103914456,0.124519126
CDON,-0.119915849,0.108469092,0.014011979,0.049383486,0.176875295
CDR1,-0.117038873,0.094495902,-0.022894717,-0.002667028,-0.059544918
CDR2,-0.105321593,0.119865053,-0.00230975,0.046862941,0.037690344
CDR2L,-0.339289076,0.189799572,-0.025768981,0.029376338,0.184039881
CDRT1,-0.268231208,0.065057527,-0.180193006,0.036607798,-0.2632246
CDRT15,-0.004717529,-0.123313922,-0.066533359,-0.370774975,-0.493461764
CDRT4,0.053909993,0.033477105,-0.065664133,0.049623672,-0.093211439
CDS1,-0.188747506,0.071683316,0.035382133,0.065661087,0.184711696
CDS2,0.135985741,-0.0327763,0.032730818,0.121458615,0.022550948
CDSN,-0.049267933,-0.012681587,0.059385461,-0.073001021,0.031905358
CDT1,0.387117685,-0.123935843,0.36786461,-0.075530496,0.296716331
CDV3,0.140484256,0.10481635,-0.067242516,0.080596445,0.168097428
CDX1,-0.014493933,0.041185539,-0.017589473,0.066854361,0.183128872
CDX2,0.358260093,-0.149941524,0.34341906,-0.168420121,0.32526541
CDX4,0.311766214,-0.359200492,0.301518856,-0.379167042,-0.161438144
CDY1,-0.364455926,0.042927304,-0.114728938,-0.088629438,-0.325200359
CDY2A,0.24751051,-0.188409896,-0.045130991,-0.035557997,-0.04483649
CDYL,-0.106101602,0.065845732,0.073132011,-0.021436652,0.097010803
CDYL2,-0.066014442,-0.070143562,-0.097859837,-0.049516597,-0.141053516
CEACAM1,-0.444048928,0.32670683,-0.456752856,0.381821744,0.034960896
CEACAM16,0.176696375,-0.029932877,0.226896578,0.013090023,0.293427855
CEACAM19,-0.249639597,0.050512386,-0.072909323,0.123480731,0.089386189
CEACAM20,0.101904372,-0.070937993,0.026024065,0.071967735,0.048752567
CEACAM21,-0.040146272,-0.025622166,-0.104869685,0.062957082,-0.022886663
CEACAM22P,-0.358706768,0.081474088,-0.150355669,-0.024719254,-0.177915418
CEACAM3,-0.225871624,0.235600714,-0.320752832,0.079943328,-0.293674327
CEACAM4,0.230351523,-0.184248917,0.233738931,-0.26060638,-0.171517986
CEACAM5,-0.247758106,0.032224701,-0.219128291,-0.119671,-0.477096748
CEACAM6,0.095496593,0.14235886,0.146145136,0.112006665,0.490083814
CEACAM7,0.075430386,-0.084991051,0.065525924,-0.051341059,0.163563153
CEACAM8,,,,,
CEBPA,0.415537026,-0.087035408,0.051784131,0.004243706,-0.019890748
CEBPB,0.16863743,-0.136202811,0.272149905,-0.111047391,0.052367538
CEBPD,-0.095960031,-0.044963236,0.127231058,-0.269512646,-0.32736102
CEBPE,0.061781718,0.03483533,-0.109234481,0.243477386,0.260271951
CEBPG,0.113147314,0.057182331,0.092271356,0.020717301,0.263309321
CEBPZ,0.059356566,-0.009737039,0.045669714,0.083366542,0.147376848
CECR1,0.023047052,-0.078096652,-0.019993555,-0.01656746,-0.046722632
CECR2,0.044063548,0.084098744,-0.071385617,0.054527849,0.065069847
CECR5,0.255513307,-0.044602127,0.12248487,-0.01085688,0.037192766
CECR5-AS1,0.104377095,0.077890905,-0.080510164,0.092912683,0.105181976
CECR6,0.03283091,-0.001627904,0.059932127,-0.009932818,-0.031944864
CEL,0.020097813,0.173042621,-0.067482945,0.030642557,0.169756356
CELA1,0.046704896,-0.142918886,0.049784475,-0.113437501,-0.157210328
CELA2A,-0.161136454,0.184386744,-0.067557473,0.184389909,0.213834892
CELA2B,0.003944952,-0.058553495,-0.008082464,-0.026161494,-0.229147106
CELA3A,0.478525607,-0.302725042,0.243004562,-0.219745262,-0.023237905
CELA3B,0.022042903,0.225239426,-0.126793551,0.097782423,-0.103994804
CELF3,0.21193492,-0.159929037,0.005504905,0.003991793,-0.200786561
CELSR1,-0.295589128,-0.107804811,-0.092782939,-0.088871736,-0.278308772
CELSR2,-0.21866731,0.074770301,-0.048473808,0.002675828,-0.073916363
CELSR3,-0.065332704,-0.01955937,0.041753962,0.037410302,0.059878952
CEMP1,,,,,
CEND1,0.085909857,0.066857521,0.123375822,0.096557107,0.314635468
CENPA,-0.253839895,0.172679925,-0.096210387,0.213340682,0.229257764
CENPB,0.044822989,0.078381468,0.034591162,-0.101509722,0.117089356
CENPC1,-0.150817527,0.072945891,-0.152606327,0.152531803,-0.036262777
CENPE,0.212620829,0.091879006,-0.085390524,0.092061896,0.169774554
CENPF,0.321938628,-0.025925638,-0.077760593,0.161794487,0.039050698
CENPH,0.057859146,0.010515451,-0.144954975,0.172469238,-0.030635742
CENPI,-0.248489249,0.239401728,-0.041197716,0.153435034,0.426817667
CENPJ,-0.290852099,0.0689798,-0.074566828,-0.045502684,-0.074667481
CENPK,0.009396069,-0.007106138,-0.061127409,0.034767659,-0.028424767
CENPL,-0.112298208,0.13080056,-0.234267268,0.364971784,0.252502028
CENPM,0.425916076,-0.158959447,0.123241508,-0.008613775,0.040435276
CENPN,-0.049484415,0.168108627,-0.010179808,0.114215262,0.299836187
CENPO,-0.13956179,0.069143009,0.006250381,-0.001137222,-0.053607184
CENPQ,0.09681589,0.09176528,0.029269932,0.081123051,0.212117724
CENPT,-0.020460864,-0.036013913,-0.041633309,-0.078339245,-0.18339877
CENPV,0.109243418,-0.092277488,0.046040842,-0.035136851,-0.011223108
CENPVL1,0.236126793,-0.016703798,-0.138152198,0.083854828,-0.130089614
CEP110,-0.271284382,0.139788709,-0.126907237,0.058479361,0.070101787
CEP120,-0.173549724,0.148644003,-0.026075158,0.047560815,0.089657639
CEP135,-0.168601399,0.021693082,-0.121947219,0.042669967,0.004142295
CEP152,-0.226506916,0.052682021,-0.009696534,-0.070462047,0.120024478
CEP164,-0.126993312,0.056760229,-0.004079413,0.049449258,0.057468452
CEP170,0.170939013,-0.00403161,0.181734053,-0.013516137,0.089149144
CEP170L,-0.208653275,0.130214628,-0.147998742,-0.053523228,-0.031838408
CEP192,-0.268412585,0.156168886,-0.088327846,0.079442532,0.089343022
CEP250,0.170964893,-0.089424057,0.067213291,-0.140332334,-0.025975151
CEP290,-0.061099183,-0.041046093,0.12109244,-0.10546553,0.014150673
CEP350,-0.269779458,0.137271695,-0.155260722,0.157348697,0.126697283
CEP55,,,,,
CEP57,-0.252285975,0.05724896,-0.025049255,-0.072268389,-0.054916674
CEP63,-0.133597403,0.159971566,0.013294659,0.097299303,0.326252641
CEP68,0.067884134,-0.037694662,-0.004538782,0.043015417,-0.08189436
CEP70,0.35197501,-0.076031676,0.06678479,0.143921745,0.273594646
CEP72,0.253770092,-0.043594789,-0.010821775,0.053240839,-0.053999615
CEP76,0.045247833,-0.114762344,0.02385051,-0.065331339,-0.126844026
CEP78,-0.096110438,0.029164758,-0.100111224,-0.002866832,-0.11184895
CEP95,-0.372030792,0.0900098,-0.059161866,-0.051308177,-0.077340394
CEP97,-0.259044232,0.166049007,-0.091084191,0.130588858,0.099446647
CEPT1,-0.000335629,0.089936116,-0.148618286,0.104512136,0.058141725
CER1,,,,,
CERCAM,-0.187573147,0.327591512,-0.159646082,0.188943321,0.22480252
CERK,-0.106326764,0.08989596,0.088799688,0.131880849,0.367579665
CERKL,0.320437207,-0.125213469,0.29641832,-0.140823142,0.20556029
CES1,0.037745454,-0.093024331,-0.140748826,0.048874018,-0.076921979
CES2,-0.019064737,-0.006478724,-0.09795038,0.093854127,0.131188324
CES3,0.281727607,-0.192778759,0.15643546,-0.154528208,-0.120354242
CES4,0.00537004,-0.19020104,0.105897214,0.084275789,0.032072725
CES7,0.121356287,0.138229717,-0.212425259,0.445264734,0.327368811
CES8,0.143434283,-0.039427419,-0.082240139,-0.026199376,-0.224336078
CESK1,0.139261498,-0.122783772,0.086666685,-0.069975367,0.001597453
CETN1,0.28134619,0.01778744,0.10646915,0.101775123,0.289856851
CETN2,0.37355541,-0.083725966,0.020838235,0.111067876,0.097360575
CETN3,0.266142795,-0.032595597,-0.033429051,0.119371117,0.044525798
CETN4P,0.058035113,-0.019052777,0.059818996,-0.025307286,0.075237558
CETP,0.119268493,-0.336838355,0.148985454,-0.353356244,-0.379799236
CFB,0.008874958,0.07991559,0.131813563,0.010005446,0.134188553
CFC1,-0.15501686,0.021300961,0.142761148,-0.119788683,0.077286248
CFD,0.296225599,0.011851775,-0.098527491,0.108526933,-0.038501281
CFDP1,0.225464796,-0.032298924,0.074686962,0.060676438,0.10905506
CFH,-0.020887297,0.013675309,0.098693686,0.057770525,0.177135302
CFHR1,-0.350189253,0.16891863,-0.07360472,0.060808655,-0.11593635
CFHR2,-0.352902708,0.083097664,-0.162229098,-0.028215983,-0.357152976
CFHR3,-0.129113054,0.040179981,0.087740023,-0.004390045,0.161177253
CFHR4,-0.040330656,0.124418557,0.033027048,0.195596095,0.293485711
CFI,-0.052557957,0.041637979,-0.115754049,0.091109756,-0.22418681
CFL1,0.037639552,0.091667693,-0.055085734,0.088794034,-0.000607362
CFL1P1,0.126096378,0.020642296,-0.020357295,0.060487796,-0.040862621
CFL2,-0.199168903,0.226695228,0.015095299,0.114176652,0.316872593
CFLAR,-0.107486293,0.179989769,-0.344181229,0.16774077,-0.087423974
CFP,-0.115214071,0.008878618,-0.143565238,0.050448378,-0.255196887
CFTR,0.053174249,0.056241925,0.068951696,0.10823443,0.361910144
CGA,0.015428811,0.079477384,-0.062873907,0.095067871,0.093731927
CGB1,0.308320584,-0.13347754,0.102185278,-0.042440767,0.014825857
CGB2,0.188068162,-0.142789848,0.239812708,-0.213706578,0.025612324
CGB5,0.023288587,-0.104251226,-0.037404077,0.067860509,-0.002877914
CGGBP1,0.051441923,-0.055409186,0.05212526,0.062823504,0.007198211
CGN,-0.100158169,0.105223214,-0.008391363,0.032786565,0.122584402
CGNL1,0.094225117,0.067143868,-0.058467036,0.111147801,0.193414239
CGREF1,0.387667976,-0.082690436,0.060395257,0.003766851,-0.061814461
CGRRF1,0.143861048,0.034142003,0.055873729,0.087379912,0.180795392
CH25H,0.199189,-0.007087426,-0.068619414,0.226371091,0.189582487
CHAC1,0.072167027,0.037563326,0.120695597,-0.039025702,0.177705658
CHAC2,0.131012212,0.081308775,-0.078692122,0.196381073,-0.032320789
CHAD,0.111287861,-0.084199021,0.128705842,-0.130954101,0.019351083
CHADL,-0.164733328,0.245647694,-0.100902625,0.124223278,0.206605879
CHAF1A,0.126677132,0.039117024,0.243070984,-0.043003043,0.346157721
CHAF1B,0.199864837,-0.064887534,-0.005972359,-0.01825749,-0.167938724
CHAT,-0.012710457,-0.035895916,-0.0038667,0.055587018,0.005737464
CHCHD1,0.209267354,-0.017688399,0.02286805,0.164580501,0.123266249
CHCHD10,0.081195685,0.088212792,0.142840669,0.030582761,0.261906097
CHCHD2,0.162002837,0.058375569,-0.023994356,0.17031912,0.161460917
CHCHD2P6,0.170746176,-0.002520104,-0.022922775,0.103885534,0.095253264
CHCHD3,0.17390526,0.004294618,-0.022883237,0.18581912,0.16962135
CHCHD4,0.190516086,0.032435736,0.074073384,0.182823251,0.358660446
CHCHD5,0.370723011,-0.009394424,0.039554684,0.036994464,0.153752149
CHCHD6,0.4256694,-0.0537535,0.064996872,0.045678573,0.065439669
CHCHD7,0.297351596,0.083901952,0.065074793,0.106819466,0.292253242
CHCHD8,0.297615064,-0.078618482,0.126189196,-0.04975119,0.119347402
CHD1,-0.257920658,0.153365428,-0.134623365,0.042942582,-0.043960646
CHD1L,-0.150134857,0.107547524,-0.043199531,0.102701436,0.21436454
CHD2,-0.227889675,0.073375826,-0.118768121,0.047539251,0.026644689
CHD3,0.248426195,-0.121300035,-0.003407592,-0.030180992,-0.142506575
CHD4,0.059214146,0.067790384,0.001978217,0.080543523,0.205982355
CHD5,0.227352641,-0.06590436,0.162994156,-0.114506661,-0.055720929
CHD6,-0.109475124,0.06218002,0.116585293,-0.033680041,0.180918373
CHD7,-0.030597827,0.240984574,-0.076348427,0.124058364,0.255346548
CHD8,0.104750271,0.019069135,-0.015027113,0.048826659,0.057566715
CHD9,-0.286663707,0.051864079,-0.050381483,0.066275217,0.00326099
CHDH,0.408325137,-0.09822247,0.080929024,-0.007549939,0.054854493
CHEK1,0.170364474,0.017656592,0.036106527,-0.063065173,0.008227727
CHEK2,0.076664663,0.053317296,0.07526609,0.064612671,0.254648798
CHEK2P2,0.14178263,-0.006843042,0.124492769,-0.077422249,0.10618576
CHERP,0.166088968,-0.096498104,0.013326768,-0.037628711,-0.242588268
CHFR,-0.233385609,0.023007482,-0.086135064,0.11236406,-0.091905433
CHGA,-0.180002295,0.071458886,0.141988584,-0.026772825,0.207401246
CHGB,0.073403379,0.015993129,-0.152479589,0.215183835,-0.064536818
CHI3L1,0.140135029,-0.202223845,0.386284419,-0.408350084,-0.142762421
