,GBC_PC1_ztstat,GBC_PC2_ztstat,GBC_PC3_ztstat,GBC_PC4_ztstat,GBC_PC5_ztstat
ABHD12,-0.174060287,0.195350991,-0.066335406,0.204091376,0.356766838
ABHD12B,0.396340033,-0.049212287,0.226721743,0.086026009,0.340087273
ABHD13,0.021234034,-0.10644389,0.077759855,-0.131615632,-0.039170475
ABHD14A,0.150264496,0.021300887,0.06143514,0.059402183,0.132298907
ABHD14B,0.210036496,0.022681354,-0.013491813,0.052982504,0.034694838
ABHD15,0.219775811,-0.034604779,0.127655937,-0.082363292,0.024860098
ABHD2,0.397854977,-0.109986663,0.106028295,0.05245619,0.025953159
ABHD3,0.188386044,-0.14455066,0.134723185,-0.056207935,0.023670222
ABHD4,0.251552006,-0.063476537,-0.052551272,0.068108795,0.018549092
ABHD5,0.017935202,0.06890708,-0.001328227,-0.024391325,0.10653784
ABHD6,-0.215921268,0.235148245,-0.139370717,0.134776295,0.154495689
ABHD8,0.265229605,-0.071442257,0.208365426,-0.093705935,0.146466804
ABI1,0.331185514,-0.075038019,0.05733459,0.100853301,0.054579809
ABI2,0.096981147,0.013613788,-0.100512297,0.112765497,-0.130688403
ABI3,0.202075539,-0.00249171,0.024003192,-0.054700984,0.012337071
ABI3BP,0.111674299,-0.137538347,0.084814729,0.07205283,0.036406047
ABL1,-0.256284697,0.245906743,-0.124389687,-0.021592877,-0.049312421
ABL2,-0.021172627,0.051499067,0.004743303,0.061201899,0.181798374
ABLIM1,0.029664853,0.013056296,-0.023895934,0.081789837,0.15861158
ABLIM2,-0.289964303,0.117777338,0.024747763,-0.053840539,0.058093565
ABLIM3,0.21788983,-0.032292271,0.066518307,0.058266861,0.090897231
ABO,-0.444889203,0.258031245,-0.333324671,0.238268378,-0.020384147
ABP1,0.27555418,-0.038997095,-0.002968425,-0.083723578,-0.106624988
ABR,0.179527914,-0.049805581,0.018506326,-0.161885509,-0.139865226
ABRA,0.513561538,-0.483810067,0.304792139,-0.447145541,-0.319346172
ABT1,0.065582958,0.157649744,-0.000949366,0.099076342,0.132986527
ABTB1,0.041141247,0.085437281,0.138896539,0.063930884,0.358972369
ABTB2,-0.27510691,0.174944923,-0.106026308,0.151033247,0.229356057
AC002351.1,-0.177982391,-0.009339196,-0.000426365,0.052893612,-0.023241381
AC002472.1,0.110988322,-0.381855557,0.10560411,-0.274753839,-0.325017981
AC002472.8,0.128846648,-0.032932439,-0.040960204,0.166067297,0.056199098
AC002472.9,0.206470658,-0.12931498,0.233611077,-0.24820365,-0.021980007
AC002511.1,-0.046871468,-0.041559162,0.014206471,-0.026528369,-0.028630727
AC002563.2,0.165705455,-0.06510809,-0.176357573,0.107144476,-0.204847874
AC004053.1,-0.083180706,0.109492908,-0.077247079,0.103569179,0.156022464
AC004080.12,-0.089675433,0.05845031,0.150409338,-0.090251456,0.147244054
AC004241.1,0.33422992,-0.153507597,0.090821962,-0.058316101,-0.128436792
